DebateId,Judge 1 (gemma-4-31b-it) winner,Judge 1 (gemma-4-31b-it) winningPosition,Judge 1 (gemma-4-31b-it) confidence,Judge 2 (qwen3-30b-a3b-instruct-2507) winner,Judge 2 (qwen3-30b-a3b-instruct-2507) winningPosition,Judge 2 (qwen3-30b-a3b-instruct-2507) confidence,Judge 3 (glm-4.7) winner,Judge 3 (glm-4.7) winningPosition,Judge 3 (glm-4.7) confidence
19,meta-llama-3.1-8b-instruct,B,0.80,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.85
20,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.85
21,Tie,Tie,0.85,gemma-4-31b-it,B,0.85,gemma-4-31b-it,B,0.75
22,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,gemma-4-31b-it,B,0.60
23,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,B,0.92,gemma-4-31b-it,A,0.60
24,Tie,Tie,0.85,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.75
25,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
26,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
27,meta-llama-3.1-8b-instruct,A,0.80,apertus-70b-instruct-2509,B,0.95,meta-llama-3.1-8b-instruct,A,0.60
28,meta-llama-3.1-8b-instruct,A,0.70,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.60
29,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.95,qwen3-30b-a3b-instruct-2507,B,0.60
30,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.60
31,qwen3-30b-a3b-instruct-2507,A,0.80,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
32,qwen3-30b-a3b-instruct-2507,A,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
33,gemma-4-31b-it,B,0.80,apertus-70b-instruct-2509,A,0.95,gemma-4-31b-it,B,0.75
34,Tie,Tie,0.85,apertus-70b-instruct-2509,A,0.95,gemma-4-31b-it,B,0.60
35,gemma-4-31b-it,A,0.80,apertus-70b-instruct-2509,B,0.95,gemma-4-31b-it,A,0.75
36,Tie,Tie,0.90,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.75
37,meta-llama-3.1-8b-instruct,A,0.90,meta-llama-3.1-8b-instruct,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
38,qwen3-30b-a3b-instruct-2507,B,0.80,meta-llama-3.1-8b-instruct,A,0.95,qwen3-30b-a3b-instruct-2507,B,0.75
39,Tie,Tie,0.80,meta-llama-3.1-8b-instruct,B,0.85,qwen3-30b-a3b-instruct-2507,A,0.75
40,qwen3-30b-a3b-instruct-2507,A,0.90,qwen3-30b-a3b-instruct-2507,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
41,Tie,Tie,0.90,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.75
42,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.75
43,meta-llama-3.1-8b-instruct,B,0.85,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
44,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.85
45,qwen3-30b-a3b-instruct-2507,A,1.00,gemma-4-31b-it,B,0.95,qwen3-30b-a3b-instruct-2507,A,0.90
46,qwen3-30b-a3b-instruct-2507,A,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.60
47,qwen3-30b-a3b-instruct-2507,B,1.00,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.95
48,Tie,Tie,0.80,Tie,Tie,0.92,qwen3-30b-a3b-instruct-2507,B,0.60
49,Tie,Tie,0.80,apertus-70b-instruct-2509,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
50,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
51,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.70
52,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.60
53,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
54,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
55,qwen3-30b-a3b-instruct-2507,A,0.80,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.60
56,qwen3-30b-a3b-instruct-2507,A,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
57,gemma-4-31b-it,B,0.90,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.85
58,gemma-4-31b-it,B,0.90,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.75
59,gemma-4-31b-it,A,0.80,Tie,Tie,0.95,gemma-4-31b-it,A,0.75
60,Tie,Tie,0.90,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.85
61,qwen3-30b-a3b-instruct-2507,B,0.90,meta-llama-3.1-8b-instruct,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
62,meta-llama-3.1-8b-instruct,A,0.00,meta-llama-3.1-8b-instruct,A,0.85,meta-llama-3.1-8b-instruct,A,0.75
63,Tie,Tie,0.90,meta-llama-3.1-8b-instruct,B,0.95,meta-llama-3.1-8b-instruct,B,0.85
64,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.85
65,meta-llama-3.1-8b-instruct,A,0.90,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.80
66,meta-llama-3.1-8b-instruct,A,0.90,gemma-4-31b-it,B,0.85,meta-llama-3.1-8b-instruct,A,0.80
67,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.85
68,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.80
69,qwen3-30b-a3b-instruct-2507,A,0.80,gemma-4-31b-it,B,0.92,gemma-4-31b-it,B,0.60
70,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,gemma-4-31b-it,B,0.60
71,Tie,Tie,0.80,gemma-4-31b-it,A,0.85,gemma-4-31b-it,A,0.60
72,gemma-4-31b-it,A,0.90,gemma-4-31b-it,A,0.92,gemma-4-31b-it,A,0.75
73,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
74,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
75,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.60
76,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.60
77,qwen3-30b-a3b-instruct-2507,B,0.80,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.60
78,Tie,Tie,0.80,Tie,Tie,0.85,qwen3-30b-a3b-instruct-2507,B,0.60
79,Tie,Tie,0.80,apertus-70b-instruct-2509,B,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
80,Tie,Tie,0.85,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
81,Tie,Tie,0.90,apertus-70b-instruct-2509,A,0.95,gemma-4-31b-it,B,0.75
82,gemma-4-31b-it,B,0.80,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.75
83,gemma-4-31b-it,A,0.90,Tie,Tie,0.95,gemma-4-31b-it,A,0.75
84,Tie,Tie,0.85,Tie,Tie,0.95,gemma-4-31b-it,A,0.75
85,qwen3-30b-a3b-instruct-2507,B,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.85
86,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.85
87,qwen3-30b-a3b-instruct-2507,A,0.80,meta-llama-3.1-8b-instruct,B,0.85,meta-llama-3.1-8b-instruct,B,0.85
88,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,meta-llama-3.1-8b-instruct,B,0.75
89,Tie,Tie,0.90,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.80
90,meta-llama-3.1-8b-instruct,A,0.90,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.80
91,meta-llama-3.1-8b-instruct,B,0.85,gemma-4-31b-it,A,0.85,meta-llama-3.1-8b-instruct,B,0.75
92,meta-llama-3.1-8b-instruct,B,0.85,Tie,Tie,0.95,gemma-4-31b-it,A,0.75
93,Tie,Tie,0.85,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
94,Tie,Tie,0.85,qwen3-30b-a3b-instruct-2507,A,0.92,gemma-4-31b-it,B,0.60
95,Tie,Tie,0.85,gemma-4-31b-it,A,0.85,gemma-4-31b-it,A,0.60
96,Tie,Tie,0.80,Tie,Tie,0.92,gemma-4-31b-it,A,0.75
97,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
98,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
99,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.60
100,meta-llama-3.1-8b-instruct,A,0.80,apertus-70b-instruct-2509,B,0.85,meta-llama-3.1-8b-instruct,A,0.75
101,Tie,Tie,0.80,apertus-70b-instruct-2509,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
102,Tie,Tie,0.80,apertus-70b-instruct-2509,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
103,Tie,Tie,0.80,apertus-70b-instruct-2509,B,0.85,qwen3-30b-a3b-instruct-2507,A,0.60
104,Tie,Tie,0.85,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.60
105,Tie,Tie,0.90,apertus-70b-instruct-2509,A,0.95,gemma-4-31b-it,B,0.85
106,Tie,Tie,0.85,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.75
107,gemma-4-31b-it,A,0.80,Tie,Tie,0.95,gemma-4-31b-it,A,0.75
108,gemma-4-31b-it,A,0.80,Tie,Tie,0.95,gemma-4-31b-it,A,0.60
109,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.85
110,Tie,Tie,0.90,meta-llama-3.1-8b-instruct,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.85
111,qwen3-30b-a3b-instruct-2507,A,0.80,meta-llama-3.1-8b-instruct,B,0.95,meta-llama-3.1-8b-instruct,B,0.75
112,meta-llama-3.1-8b-instruct,B,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.70
113,Tie,Tie,0.90,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.85
114,meta-llama-3.1-8b-instruct,A,0.90,gemma-4-31b-it,B,0.95,meta-llama-3.1-8b-instruct,A,0.80
115,gemma-4-31b-it,A,0.80,gemma-4-31b-it,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
116,meta-llama-3.1-8b-instruct,B,0.80,gemma-4-31b-it,A,0.85,gemma-4-31b-it,A,0.75
117,Tie,Tie,0.85,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.80
118,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,A,0.85,gemma-4-31b-it,B,0.75
119,Tie,Tie,0.80,gemma-4-31b-it,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.60
120,Tie,Tie,0.80,Tie,Tie,0.95,gemma-4-31b-it,A,0.60
121,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
122,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
123,Tie,Tie,0.80,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.60
124,meta-llama-3.1-8b-instruct,A,0.70,apertus-70b-instruct-2509,B,0.95,meta-llama-3.1-8b-instruct,A,0.60
125,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.60
126,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.85,apertus-70b-instruct-2509,A,0.60
127,Tie,Tie,0.85,apertus-70b-instruct-2509,B,0.92,apertus-70b-instruct-2509,B,0.75
128,qwen3-30b-a3b-instruct-2507,A,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
129,Tie,Tie,0.85,gemma-4-31b-it,B,0.85,gemma-4-31b-it,B,0.60
130,Tie,Tie,0.80,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.75
131,Tie,Tie,0.80,apertus-70b-instruct-2509,B,0.95,gemma-4-31b-it,A,0.75
132,Tie,Tie,0.90,apertus-70b-instruct-2509,B,0.95,gemma-4-31b-it,A,0.85
133,qwen3-30b-a3b-instruct-2507,B,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.75
134,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,B,0.95,meta-llama-3.1-8b-instruct,A,0.60
135,Tie,Tie,0.90,meta-llama-3.1-8b-instruct,B,0.95,meta-llama-3.1-8b-instruct,B,0.85
136,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.85
137,Tie,Tie,0.90,meta-llama-3.1-8b-instruct,A,0.95,meta-llama-3.1-8b-instruct,A,0.70
138,meta-llama-3.1-8b-instruct,A,0.90,gemma-4-31b-it,B,0.95,meta-llama-3.1-8b-instruct,A,0.75
139,meta-llama-3.1-8b-instruct,B,1.00,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.85
140,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.75
141,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,gemma-4-31b-it,B,0.60
142,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,A,0.85,qwen3-30b-a3b-instruct-2507,A,0.60
143,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,gemma-4-31b-it,A,0.60
144,Tie,Tie,0.85,qwen3-30b-a3b-instruct-2507,B,0.95,gemma-4-31b-it,A,0.75
145,Tie,Tie,0.80,meta-llama-3.1-8b-instruct,B,0.85,meta-llama-3.1-8b-instruct,B,0.60
146,meta-llama-3.1-8b-instruct,B,0.80,meta-llama-3.1-8b-instruct,B,0.85,meta-llama-3.1-8b-instruct,B,0.70
147,Tie,Tie,0.80,apertus-70b-instruct-2509,B,0.85,meta-llama-3.1-8b-instruct,A,0.60
148,Tie,Tie,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.60
149,qwen3-30b-a3b-instruct-2507,B,0.80,qwen3-30b-a3b-instruct-2507,B,0.92,qwen3-30b-a3b-instruct-2507,B,0.60
150,qwen3-30b-a3b-instruct-2507,B,0.80,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.75
151,Tie,Tie,0.85,apertus-70b-instruct-2509,B,0.85,qwen3-30b-a3b-instruct-2507,A,0.75
152,Tie,Tie,0.85,apertus-70b-instruct-2509,B,0.85,qwen3-30b-a3b-instruct-2507,A,0.75
153,Tie,Tie,0.85,gemma-4-31b-it,B,0.85,gemma-4-31b-it,B,0.60
154,gemma-4-31b-it,B,0.80,gemma-4-31b-it,B,0.85,gemma-4-31b-it,B,0.60
155,Tie,Tie,0.80,apertus-70b-instruct-2509,B,0.85,gemma-4-31b-it,A,0.85
156,Tie,Tie,0.85,apertus-70b-instruct-2509,B,0.85,gemma-4-31b-it,A,0.75
157,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.75
158,qwen3-30b-a3b-instruct-2507,B,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.85
159,Tie,Tie,0.90,meta-llama-3.1-8b-instruct,B,0.85,meta-llama-3.1-8b-instruct,B,0.75
160,qwen3-30b-a3b-instruct-2507,A,0.90,meta-llama-3.1-8b-instruct,B,0.85,meta-llama-3.1-8b-instruct,B,0.75
161,Tie,Tie,0.80,meta-llama-3.1-8b-instruct,A,0.95,meta-llama-3.1-8b-instruct,A,0.60
162,meta-llama-3.1-8b-instruct,A,0.90,gemma-4-31b-it,B,0.95,meta-llama-3.1-8b-instruct,A,0.75
163,meta-llama-3.1-8b-instruct,B,0.85,gemma-4-31b-it,A,0.85,meta-llama-3.1-8b-instruct,B,0.75
164,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.92,meta-llama-3.1-8b-instruct,B,0.85
165,Tie,Tie,0.85,qwen3-30b-a3b-instruct-2507,A,0.92,qwen3-30b-a3b-instruct-2507,A,0.60
166,Tie,Tie,0.80,gemma-4-31b-it,B,0.85,gemma-4-31b-it,B,0.60
167,gemma-4-31b-it,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.85,gemma-4-31b-it,A,0.85
168,qwen3-30b-a3b-instruct-2507,B,0.85,qwen3-30b-a3b-instruct-2507,B,0.95,gemma-4-31b-it,A,0.75
169,Tie,Tie,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
170,Tie,Tie,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
171,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.60
172,meta-llama-3.1-8b-instruct,A,0.80,apertus-70b-instruct-2509,B,0.85,meta-llama-3.1-8b-instruct,A,0.60
173,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.60
174,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.60
175,Tie,Tie,0.80,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.75
176,qwen3-30b-a3b-instruct-2507,A,0.90,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.60
177,Tie,Tie,0.85,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.75
178,gemma-4-31b-it,B,0.80,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.60
179,Tie,Tie,0.85,gemma-4-31b-it,A,0.85,gemma-4-31b-it,A,0.60
180,Tie,Tie,0.90,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.85
181,qwen3-30b-a3b-instruct-2507,B,0.80,qwen3-30b-a3b-instruct-2507,B,0.85,meta-llama-3.1-8b-instruct,A,0.60
182,qwen3-30b-a3b-instruct-2507,B,0.90,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.75
183,Tie,Tie,0.90,meta-llama-3.1-8b-instruct,B,0.85,qwen3-30b-a3b-instruct-2507,A,0.85
184,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.80
185,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.75
186,meta-llama-3.1-8b-instruct,A,0.80,gemma-4-31b-it,B,0.95,meta-llama-3.1-8b-instruct,A,0.75
187,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.70
188,meta-llama-3.1-8b-instruct,B,0.90,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,B,0.85
189,Tie,Tie,0.85,Tie,Tie,0.92,qwen3-30b-a3b-instruct-2507,A,0.60
190,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,A,0.85,qwen3-30b-a3b-instruct-2507,A,0.60
191,Tie,Tie,0.80,gemma-4-31b-it,A,0.85,gemma-4-31b-it,A,0.60
192,Tie,Tie,0.85,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.75
193,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
194,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.95,meta-llama-3.1-8b-instruct,B,0.60
195,meta-llama-3.1-8b-instruct,A,0.90,apertus-70b-instruct-2509,B,0.85,meta-llama-3.1-8b-instruct,A,0.80
196,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.60
197,qwen3-30b-a3b-instruct-2507,B,0.80,apertus-70b-instruct-2509,A,0.85,apertus-70b-instruct-2509,A,0.60
198,qwen3-30b-a3b-instruct-2507,B,0.80,Tie,Tie,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
199,Tie,Tie,0.80,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.60
200,Tie,Tie,0.85,Tie,Tie,0.95,qwen3-30b-a3b-instruct-2507,A,0.60
201,Tie,Tie,0.85,apertus-70b-instruct-2509,A,0.85,gemma-4-31b-it,B,0.75
202,gemma-4-31b-it,B,0.80,apertus-70b-instruct-2509,A,0.95,gemma-4-31b-it,B,0.60
203,Tie,Tie,0.90,Tie,Tie,0.95,gemma-4-31b-it,A,0.75
204,Tie,Tie,0.90,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.75
205,qwen3-30b-a3b-instruct-2507,B,0.80,meta-llama-3.1-8b-instruct,A,0.85,meta-llama-3.1-8b-instruct,A,0.65
206,Tie,Tie,0.90,meta-llama-3.1-8b-instruct,A,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
207,qwen3-30b-a3b-instruct-2507,A,0.90,meta-llama-3.1-8b-instruct,B,0.95,meta-llama-3.1-8b-instruct,B,0.85
208,Tie,Tie,0.90,qwen3-30b-a3b-instruct-2507,A,0.95,meta-llama-3.1-8b-instruct,B,0.85
209,meta-llama-3.1-8b-instruct,A,0.90,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.75
210,meta-llama-3.1-8b-instruct,A,0.90,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.85
211,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.85
212,meta-llama-3.1-8b-instruct,B,0.90,gemma-4-31b-it,A,0.95,meta-llama-3.1-8b-instruct,B,0.75
213,Tie,Tie,0.85,gemma-4-31b-it,B,0.85,qwen3-30b-a3b-instruct-2507,A,0.75
214,Tie,Tie,0.80,qwen3-30b-a3b-instruct-2507,A,0.95,qwen3-30b-a3b-instruct-2507,A,0.60
215,Tie,Tie,0.80,gemma-4-31b-it,A,0.85,gemma-4-31b-it,A,0.60
216,Tie,Tie,0.85,gemma-4-31b-it,A,0.95,gemma-4-31b-it,A,0.80
217,meta-llama-3.1-8b-instruct,B,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
218,Tie,Tie,0.80,apertus-70b-instruct-2509,A,0.85,meta-llama-3.1-8b-instruct,B,0.60
219,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.85,meta-llama-3.1-8b-instruct,A,0.60
220,meta-llama-3.1-8b-instruct,A,0.80,Tie,Tie,0.95,meta-llama-3.1-8b-instruct,A,0.60
221,qwen3-30b-a3b-instruct-2507,B,0.80,qwen3-30b-a3b-instruct-2507,B,0.95,qwen3-30b-a3b-instruct-2507,B,0.70
222,Tie,Tie,0.80,Tie,Tie,0.85,qwen3-30b-a3b-instruct-2507,B,0.75
223,Tie,Tie,0.80,Tie,Tie,0.95,apertus-70b-instruct-2509,B,0.75
