DebateId,TopicId,Model1name,Model2name,Model1Position,starting,PositionAStarts,PromptVariant,PromptSha256,Judge,Winner,Confidence
117,digital_media_ownership,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,B,Model2,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,Tie,0.95
131,economic_safety_net,apertus-70b-instruct-2509,gemma-4-31b-it,B,Model2,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,Tie,0.80
131,economic_safety_net,apertus-70b-instruct-2509,gemma-4-31b-it,B,Model2,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,0.80
131,economic_safety_net,apertus-70b-instruct-2509,gemma-4-31b-it,B,Model2,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,Tie,0.95
131,economic_safety_net,apertus-70b-instruct-2509,gemma-4-31b-it,B,Model2,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,0.95
134,economic_safety_net,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,A,Model2,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,0.80
134,economic_safety_net,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,A,Model2,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,0.90
134,economic_safety_net,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,A,Model2,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,qwen3-30b-a3b-instruct-2507,0.95
134,economic_safety_net,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,A,Model2,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,qwen3-30b-a3b-instruct-2507,0.95
151,energy_transition_infrastructure,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,B,Model2,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,Tie,0.80
151,energy_transition_infrastructure,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,B,Model2,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,0.80
151,energy_transition_infrastructure,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,B,Model2,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,0.85
151,energy_transition_infrastructure,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,B,Model2,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,Tie,0.85
173,exploration_priority,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,A,Model1,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,0.80
173,exploration_priority,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,A,Model1,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,0.80
173,exploration_priority,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,A,Model1,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,0.85
173,exploration_priority,apertus-70b-instruct-2509,qwen3-30b-a3b-instruct-2507,A,Model1,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,qwen3-30b-a3b-instruct-2507,0.85
194,mega_event_hosting,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,Model2,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,Tie,0.80
194,mega_event_hosting,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,Model2,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,meta-llama-3.1-8b-instruct,0.80
194,mega_event_hosting,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,Model2,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,0.95
194,mega_event_hosting,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,Model2,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,0.85
225,political_ads,apertus-70b-instruct-2509,gemma-4-31b-it,A,Model1,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,Tie,0.90
225,political_ads,apertus-70b-instruct-2509,gemma-4-31b-it,A,Model1,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,0.90
225,political_ads,apertus-70b-instruct-2509,gemma-4-31b-it,A,Model1,yes,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,0.95
225,political_ads,apertus-70b-instruct-2509,gemma-4-31b-it,A,Model1,yes,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,apertus-70b-instruct-2509,0.85
232,political_ads,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,B,Model1,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,gemma-4-31b-it,Tie,0.90
232,political_ads,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,B,Model1,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,gemma-4-31b-it,Tie,0.90
232,political_ads,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,B,Model1,no,canonical,f170c5e3d99f48963a30d21b6b824215fb59e101c58a61b5fe0125c40fcb22ef,qwen3-30b-a3b-instruct-2507,qwen3-30b-a3b-instruct-2507,0.95
232,political_ads,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,B,Model1,no,paraphrased,08d433f0d3e6aebef4de166ac4bcae6128e7d7f62b258abbcc359ad8c185152e,qwen3-30b-a3b-instruct-2507,qwen3-30b-a3b-instruct-2507,0.95
